'id_car_option','name','id_parent','date_create','date_update','id_car_type'
'2','Direction assistée','1','1464484023','1518975461','1'
'3','Réglage de la colonne de direction par rapport à l''angle d''inclinaison','1','1464484023','1518975461','1'
'4','Réglage de la colonne de direction selon le dpart','1','1464484023','1518975461','1'
'5','Les capteurs de pluie et de lumière','1','1464484023','1518975461','1'
'6','Lave-phares','1','1464484023','1518975461','1'
'7','Hayon arrière vitres','1','1464484023','1518975461','1'
'9','Électrique des rétroviseurs latéraux','1','1464484023','1518975461','1'
'12','Le contrôle du climat','11','1464484023','1518975461','1'
'13','Chauffage du pare-brise','11','1464484023','1518975461','1'
'14','Chauffage des rétroviseurs latéraux','11','1464484023','1518975461','1'
'15','Sièges avant chauffants','11','1464484023','1518975461','1'
'16','Refroidi par la boîte à gants','11','1464484023','1518975461','1'
'18','Ordinateur de bord','17','1464484023','1518975461','1'
'19','Contrôle de l''audio sur le volant','17','1464484023','1518975461','1'
'20','6 haut-parleurs','17','1464484023','1518975461','1'
'21','Un lecteur de CD','17','1464484023','1518975461','1'
'22','Support MP3','17','1464484023','1518975461','1'
'25','Immobiliser','23','1464484023','1518975461','1'
'27','Airbags conducteur','26','1464484023','1518975462','1'
'28','L''airbag passager','26','1464484023','1518975462','1'
'29','Airbags latéraux avant','26','1464484023','1518975463','1'
'30','Airbags rideau de type','26','1464484023','1518975289','1'
'31','Fixation pour siège-enfant ISOFIX','26','1464484023','1518975463','1'
'33','Système de freinage antiblocage (ABS)','32','1464484023','1518975463','1'
'34','Système de contrôle de stabilité (ESP)','32','1464484023','1518975463','1'
'35','Système de répartition de freinage','32','1464484023','1518975463','1'
'36','Régulateur de vitesse','32','1464484023','1518975463','1'
'37','Capteurs de stationnement arrière','32','1464484023','1518975463','1'
'39','Jantes en alliage','38','1464484023','1518975463','1'
'40','Rails de toit','38','1464484023','1518975463','1'
'41','La coloration de la carrosserie métallique','38','1464484023','1518975463','1'
'44','Phares antibrouillard','43','1464484023','1518975463','1'
'47','Tissu rembourrage','46','1464484023','1518975461','1'
'48','Volant en cuir et poignée de PPC','46','1464484023','1518975461','1'
'57','Rétroviseurs couleur de la carrosserie','38','1464484024','1518975464','1'
'59','Poignées de portes en couleur de la carrosserie','38','1464484024','1518975464','1'
'70','Le capteur de pluie','1','1464484025','1518975464','1'
'78','Phares au xénon','43','1464484026','1518975464','1'
'79','La coloration de la carrosserie de la nacre','38','1464484027','1518975464','1'
'80','Siège conducteur électrique de siège','1','1464484027','1518975464','1'
'81','Électrique du siège passager','1','1464484027','1518975464','1'
'82','Changeur de CD','17','1464484027','1518975464','1'
'83','Système de communication Bluetooth','17','1464484027','1518975464','1'
'85','Phares bi-xénon','43','1464484027','1518975464','1'
'86','Cuir rembourrage','46','1464484027','1518975464','1'
'96','Chromée buse du tuyau d''échappement','38','1464484030','1518975464','1'
'98','Réglage de la colonne de direction en hauteur','1','1464484033','1518975463','1'
'102','Chauffage de la lunette arrière','11','1464484033','1518975463','1'
'107','Système RDS','17','1464484033','1518975463','1'
'110','Fermeture centralisée','23','1464484033','1518975463','1'
'129','Phares halogènes','43','1464484033','1518975464','1'
'130','Feux de brouillard avant','43','1464484033','1518975464','1'
'136','Roue de secours taille réelle','135','1464484033','1518975464','1'
'143','Port USB','17','1464484034','1518975464','1'
'149','Chromé poignées d''ouverture des portes','38','1464484034','1518975464','1'
'156','Les miroirs lectrorgls de recul avec le chauffage','1','1464484037','1518975299','1'
'159','Connecteur pour le branchement d''appareils audio','17','1464484037','1518975466','1'
'162','Aide au freinage d''urgence','32','1464484037','1518975466','1'
'171','Cuir volant','1','1464484039','1518975466','1'
'176','Les poches sur le dos des sièges avant','46','1464484040','1518975466','1'
'178','Volant en cuir','1','1464484043','1518975466','1'
'180','Système antipatinage (ASR)','32','1464484043','1518975466','1'
'181','Roue de secours de Petite taille','135','1464484043','1518975289','1'
'185','Ceintures de sécurité avec limiteur de charge','26','1464484055','1518975466','1'
'194','Climatisation','11','1464484058','1518975466','1'
'196','4 haut-parleurs','17','1464484058','1518975466','1'
'197','Système d''alarme','23','1464484058','1518975467','1'
'200','Les ceintures de sécurité avant à hauteur réglable','26','1464484058','1518975467','1'
'202','Système électronique de répartition de freinage (EBD)','32','1464484058','1518975467','1'
'212','Airbags frontaux','26','1464484059','1518975464','1'
'213','Verrouillage des portes arrière (sécurité pour les enfants)','26','1464484059','1518975465','1'
'215','Tissu rembourrage de siège','46','1464484060','1518975465','1'
'216','Accoudoir à l''avant','46','1464484060','1518975465','1'
